Id_Encuesta,Año,SECTOR,TAMAÑO,P38_1,P38_2,P38_3,P38_4,P38_90,P39,P40,P41_1,P41_2,P41_3,P41_4,P41_OTRO,P42_1,P42_2,P42_3,P42_4,P42_5,P42_OTRO,P43,P44,P44A,P45,P46,P47,P48A,P48B,P48C,P49_1,P49_2,P49_3,P49_4,P50,P51,P51_OTRO,P52_1,P52_2,P52_3,P52_4,P52_90,P53,P54,P55,P56,P57A,P57B,P57C,P57D,P57E,P57F,P57G,P57H,P58,P59,fax expansión
01_DGC_Clima_Negocios,2021,Comercio,Micro,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,No,,,Falta de un presupuesto asignado para esto,,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,Fiscalía General de la Nación,,,Medio,Por competencia vía reducción de precios,,,,,,Ninguna,No,Insegura,Aumentó,No,,,,,,,,,,,128.69382
01_DGC_Clima_Negocios,2021,Industrias,Pequeña,,Estatuto Anticorrupción (Ley 1474 del 2011),Observatorio de Transparencia y Anticorrupción de la Secretaría de Transparencia de la Presidencia de la República,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,No,Desconocimiento de la temática,,,,,,,,,,,Si,Si,MONITOREO CONSTANTE,Siguen igual,No,Baja,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,Fiscalía General de la Nación,Policía Fiscal y Aduanera (POLFA),Gremios y/o Cámaras de Comercio,Medio,No se ha visto afectada,,,,,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,No,Parcialmente segura,Aumentó,No,,,,,,,,,,,33.90526
01_DGC_Clima_Negocios,2021,Servicios,Micro,,,,,Ninguna,Baja,No,,,,,Empresa familiar/Pequeña,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,DIAN,,,,Medio,Por competencia vía reducción de precios,,,,,,Ninguna,Si,Insegura,Siguió igual,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Comercio,Pequeña,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,No,,,Falta de un presupuesto asignado para esto,,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,DIAN,,,,Alto,Por disminución en el volumen de las ventas,,,,Ley Anticontrabando 1762 de 2015,,,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,34.42515
01_DGC_Clima_Negocios,2021,Servicios,Mediana,,Estatuto Anticorrupción (Ley 1474 del 2011),,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,,,Códigos de ética y buen gobierno,,,,Si,Si,estamos bajos auditorias permanente,No existen,Si,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,,,,,Ninguna,Si,Insegura,Aumentó,No,,,,,,,,,,,21.54128
01_DGC_Clima_Negocios,2021,Construcción,Micro,,,,,Ninguna,Alta,No,,,,,Actua legalmente,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,,,,Ninguna,No,Insegura,Aumentó,No,,,,,,,,,,,97.14286
01_DGC_Clima_Negocios,2021,Servicios,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,No,,,,No es un tema que le competa a la empresa,,,,,,,,Si,Si,CERTIFICADOS DE EMPRESAS,Siguen igual,No,Media,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,,,Ley Anticontrabando 1762 de 2015,,,No,Insegura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Industrias,Pequeña,,Estatuto Anticorrupción (Ley 1474 del 2011),,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,Programa de capacitación a empleados,Programas de cumplimiento,Códigos de ética y buen gobierno,,,,Si,Si,ES COMPLICADO PORQUE SE CONTRATAN OTRAS EMPRESAS,Han aumentado,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Alto,Por competencia vía reducción de precios,,Plan Vallejo,,,,,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,33.90526
01_DGC_Clima_Negocios,2021,Comercio,Pequeña,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,Si,,,,,,,,,,,Control / seguimientos  procesos,Si,Si,CAPACITACIONAL PERSONAL EN CUANTO EL SARLAF,Han disminuido,Si,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,Policía Fiscal y Aduanera (POLFA),,Medio,Por competencia vía reducción de precios,,Plan Vallejo,,Ley Anticontrabando 1762 de 2015,,,No,Parcialmente segura,Aumentó,No,,,,,,,,,,,34.42515
01_DGC_Clima_Negocios,2021,Servicios,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,Si,,,,,,,,,,,Control / seguimientos  procesos,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,Plan Vallejo,,Ley Anticontrabando 1762 de 2015,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,147.36765
